	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
GO_NUCLEOSOMAL_DNA_BINDING	GO_NUCLEOSOMAL_DNA_BINDING	GO_NUCLEOSOMAL_DNA_BINDING	24	-0.797246882867242	-1.55108238184374	0.005	0.924162257495591	0.924162257495591	51	tags=8%, list=0%, signal=8%	RCC1/HMGA2
GO_SEQUENCE_SPECIFIC_MRNA_BINDING	GO_SEQUENCE_SPECIFIC_MRNA_BINDING	GO_SEQUENCE_SPECIFIC_MRNA_BINDING	11	-0.88329069418244	-1.51319352462769	0.00260078023407022	0.908539228435197	0.908539228435197	181	tags=27%, list=1%, signal=27%	SRSF4/RBM24/LIN28A
GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_OLFACTORY_RECEPTOR_ACTIVITY	357	-0.596715111643313	-1.46037705892814	0.00100300902708124	0.908539228435197	0.908539228435197	3064	tags=55%, list=16%, signal=47%	OR5B3/OR51B6/OR5M10/OR52N5/OR3A2/OR9I1/OR7A10/OR11G2/OR2T2/OR2Z1/OR10A6/OR5B2/OR51G2/OR12D2/OR9K2/OR9Q1/OR10Q1/OR2T11/OR5M1/OR1L6/OR3A1/OR2A4/OR2A42/OR51A7/OR7D2/OR4F15/OR2T5/OR2K2/OR4D6/OR4N5/OR6J1/OR4Q3/OR8J1/OR52N4/OR2T29/OR2T3/OR2S2/OR4E2/OR56A5/OR7C2/OR1E2/OR2T33/OR2M5/OR2B11/OR8H3/OR4S1/OR52E5/OR6N2/OR10H3/OR6V1/OR13H1/OR7A5/OR2D2/OR4C11/OR9Q2/OR1J1/OR52E6/OR51B5/OR1G1/OR10A4/OR51G1/OR5C1/OR5K1/OR5K2/OR11H6/OR6B2/OR4F5/OR7D4/OR8H1/OR10A2/OR5H1/OR52N2/OR10T2/OR4N2/OR5AP2/OR2T8/OR1A2/OR10J1/OR56B1/OR5W2/OR4K2/OR10H1/OR6C68/OR2A14/OR2AT4/OR8B8/OR4F21/OR52A1/OR6X1/OR8K1/OR12D3/OR6P1/OR6C3/OR8D1/OR10H5/OR8H2/OR6C4/OR2C3/OR51A4/OR6C70/OR4S2/OR7G1/OR51Q1/OR10J5/OR5T3/OR6C76/OR1K1/OR52B6/OR52K2/OR5AU1/OR11H4/OR4D11/OR1F1/OR1M1/OR10G3/OR2H2/OR7C1/OR6C65/OR6C75/OR5V1/OR11A1/OR13C8/OR10D3/OR2G3/OR2B2/OR4K15/OR5AK2/OR7E24/OR6C2/OR1S2/OR6B3/OR10G2/OR10A3/OR1A1/OR56A1/OR2J1/OR5A2/OR2D3/OR2F2/OR51M1/OR10A5/OR8A1/OR2G2/OR4C5/OR6M1/OR5T2/OR5B21/OR6K2/OR5A1/OR51I1/OR7G2/OR10V1/OR5M11/OR10A7/OR4D1/OR9A4/OR4F6/OR4A15/OR51V1/OR6S1/OR51D1/OR13A1/OR2T4/OR1J4/OR6N1/OR14J1/OR52M1/OR7A17/OR2AP1/OR4M1/OR2T12/OR5D14/OR51I2/OR10K1/OR52K1/OR51B2/OR56A4/OR8B4/OR2AG1/OR5M3/OR10W1/OR6Y1/OR11H2/OR13C3/OR5B17/OR4C15/OR3A3/OR2B3/OR5F1/OR4E1/OR10H2/OR5AC2/OR5H14/OR56A3/OR2M2/OR2M3
GO_CYTOKINE_ACTIVITY	GO_CYTOKINE_ACTIVITY	GO_CYTOKINE_ACTIVITY	228	-0.593985784503585	-1.44160107785954	0.00201612903225806	0.908539228435197	0.908539228435197	5067	tags=60%, list=26%, signal=45%	EBI3/BMP8B/INHBC/CMTM7/CCL14/GDF11/TNFSF8/IL16/CCL17/IL31/CMTM1/CD70/IL36G/IL34/INHBE/CD40LG/CMTM2/LTB/TGFB3/BMP1/PPBP/IL17A/TGFB2/CXCL8/CNTF/CCL22/TNFSF13B/WNT5A/XCL2/IL12A/FASLG/VSTM1/IFNA2/IL1RN/IL24/CCL20/IL36B/IL10/FLT3LG/IFNA21/CXCL2/SCGB3A1/OSM/IL1A/CXCL1/CCL18/WNT2B/CCL25/TNF/CRLF1/LIF/LTA/IFNA5/WNT9B/CXCL13/BMP10/CCL23/C10orf99/IFNL2/NODAL/IFNA1/WNT8B/INHBA/PF4/IL23A/MSTN/SCG2/CCL21/IL2/WNT3/IFNE/IFNG/IFNB1/CMTM5/IL26/WNT3A/IL19/GDF7/WNT10A/IFNK/IFNA8/CCL16/CXCL6/TNFSF11/IL36RN/IL27/WNT5B/THPO/CCL19/IL17B/C1QTNF4/TNFSF14/IFNL1/WNT4/IL25/C17orf99/WNT16/CXCL3/TSLP/BMP8A/IL4/GDF10/NDP/IL6/CXCL5/IFNA7/SLURP1/CCL13/CCL1/IL11/IFNA6/WNT1/EPO/GREM2/GDF5/LEFTY1/INHA/WNT7A/IFNA13/IL13/IL3/LEFTY2/CSF2/WNT7B/CCL7/CCL26/WNT10B/IL22/IL17C/CSF3/IL1F10/CCL11/GREM1/IL21/GDF2/ADIPOQ/IL36A
GO_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	GO_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	GO_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	44	-0.67524273839212	-1.4199463318592	0.0141010575793184	1	1	3392	tags=50%, list=17%, signal=41%	CACNA2D4/CACNA1F/CNR1/RYR1/CATSPER1/HTR1B/CACNB1/CACNA1C/TMC2/CACNG1/CACNG4/CACNG3/CACNA1A/CACNG8/CATSPER4/OPRM1/CACNA1G/CALHM1/CACNG7/CACNG2/CACNA1B/CACNG6
GO_HAPTOGLOBIN_BINDING	GO_HAPTOGLOBIN_BINDING	GO_HAPTOGLOBIN_BINDING	10	-0.835776913143099	-1.41394891320363	0.025	1	1	2240	tags=70%, list=12%, signal=62%	HBD/HBE1/HBQ1/HBG2/HBM/HBG1/HBZ
GO_TASTE_RECEPTOR_ACTIVITY	GO_TASTE_RECEPTOR_ACTIVITY	GO_TASTE_RECEPTOR_ACTIVITY	26	-0.716899594627319	-1.41253296667632	0.0199252801992528	1	1	3135	tags=65%, list=16%, signal=55%	PKD2L1/TAS2R10/TAS2R20/TAS2R3/PKD1L3/TAS2R5/TAS1R2/TAS2R1/TAS2R4/TAS1R3/TAS1R1/TAS2R40/TAS2R38/TAS2R9/TAS2R8/TAS2R39/TAS2R7
GO_PEPTIDOGLYCAN_MURALYTIC_ACTIVITY	GO_PEPTIDOGLYCAN_MURALYTIC_ACTIVITY	GO_PEPTIDOGLYCAN_MURALYTIC_ACTIVITY	13	-0.805135030454216	-1.40915543302858	0.0180878552971576	1	1	3587	tags=85%, list=18%, signal=69%	LYZL2/PGLYRP2/PGLYRP1/LYZL1/LYG2/SPACA5/PGLYRP4/SPACA5B/LYZL4/PGLYRP3/LYZL6
GO_ODORANT_BINDING	GO_ODORANT_BINDING	GO_ODORANT_BINDING	83	-0.61356990393973	-1.40451362113224	0.0150537634408602	1	1	1670	tags=57%, list=9%, signal=52%	OR5K3/OR5B3/OR5M10/OR9I1/OR5B2/OR9K2/OR9Q1/OR10Q1/OR5M1/OR8J1/OR8H3/OR9Q2/OR5C1/OR5K1/OR5K2/LCN1/OR6B2/OR8H1/OR5H1/OR5AP2/OR5W2/OBP2B/OR8B8/OR8K1/OR8D1/OR8H2/OR5AU1/OR5AK2/OBP2A/OR6B3/OR5A2/OR8A1/OR5B21/OR5A1/OR10V1/OR5M11/OR13A1/OR14J1/OR5D14/PAEP/OR8B4/OR5M3/OR10W1/OR5B17/OR5F1/OR5AC2/OR5H14
GO_DNA_SECONDARY_STRUCTURE_BINDING	GO_DNA_SECONDARY_STRUCTURE_BINDING	GO_DNA_SECONDARY_STRUCTURE_BINDING	33	-0.682227846162053	-1.39574706933173	0.0254237288135593	1	1	112	tags=27%, list=1%, signal=27%	GEN1/XRCC3/CLSPN/NEIL3/BLM/XRCC2/HAND2/HMGA2/NR0B1
