	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
GO_PROTEIN_ARGININE_N_METHYLTRANSFERASE_ACTIVITY	GO_PROTEIN_ARGININE_N_METHYLTRANSFERASE_ACTIVITY	GO_PROTEIN_ARGININE_N_METHYLTRANSFERASE_ACTIVITY	11	0.861619637773576	1.79525374481868	0.0131004366812227	1	1	100	tags=9%, list=1%, signal=9%	PRMT8
GO_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	GO_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	GO_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	157	0.549359535167276	1.73333531999086	0.037037037037037	1	1	7259	tags=73%, list=37%, signal=46%	MRPL46/MRPS24/MRPS33/MRPS30/RPL3L/MRPS18C/MRPL49/MRPS36/MRPL13/MRPS35/MRPS22/MRPL34/MRPL35/MRPS23/MRPS31/MRPL15/MRPL21/NDUFA7/MRPL4/MRPL32/MRPS12/MRPS18A/MRPL1/MRPL16/MRPL54/MRPS5/RPL17/MRPL11/MRPS17/MRPS11/MRPL22/MRPS18B/MRPL42/RSL24D1/MRPL3/MRPL27/MRPS14/MRPL19/MRPS2/MRPL57/MRPL30/MRPL2/MRPS9/MRPL37/RPS29/RPL21/MRPS25/MRPL12/MRPL43/RPS4Y2/MRPL47/MRPS16/MRPS7/RPS3A/RPS5/MRPL10/MRPS6/MRPS34/MRPL33/MRPL28/RPL7/MRPL51/RPL15/RPS28/RPL26L1/MRPL41/MRPL23/RPL7L1/RPL36AL/RPS6/RPS10/RPS15A/RPL41/RPL9/RPL10A/RPL8/RPS14/RPL35A/RPL7A/RPL14/RPL26/MRPL14/RPS13/MRPL20/MRPS15/MRPL24/MRPL52/RPS3/RPL36/RPL24/MRPL36/RPL22/RPL35/RPL32/RPS25/RPL4/RPL30/RPSA/RPL10/RPL34/RPS4X/UBA52/RPS21/RPL18/RPL3/RPS27/RPS17/RPL27/RPS11/MRPL18/RPL5/RPL6/RPS23/RPL18A
GO_THYROID_HORMONE_RECEPTOR_BINDING	GO_THYROID_HORMONE_RECEPTOR_BINDING	GO_THYROID_HORMONE_RECEPTOR_BINDING	30	0.704254685427286	1.72058896609458	0.0159574468085106	1	1	63	tags=3%, list=0%, signal=3%	NR0B2
GO_ACYL_COA_DEHYDROGENASE_ACTIVITY	GO_ACYL_COA_DEHYDROGENASE_ACTIVITY	GO_ACYL_COA_DEHYDROGENASE_ACTIVITY	11	0.823604448671037	1.7160460438746	0.0174672489082969	1	1	2764	tags=82%, list=14%, signal=70%	ACADL/ACADSB/ACAD11/ACADS/ACADM/ACAD8/GCDH/IVD/ACAD10
GO_PEROXISOME_PROLIFERATOR_ACTIVATED_RECEPTOR_BINDING	GO_PEROXISOME_PROLIFERATOR_ACTIVATED_RECEPTOR_BINDING	GO_PEROXISOME_PROLIFERATOR_ACTIVATED_RECEPTOR_BINDING	12	0.807006872544966	1.69137751498995	0.0297872340425532	1	1	898	tags=25%, list=5%, signal=24%	NR0B2/PPARGC1A/ASXL3
GO_NADH_DEHYDROGENASE_ACTIVITY	GO_NADH_DEHYDROGENASE_ACTIVITY	GO_NADH_DEHYDROGENASE_ACTIVITY	45	0.634886346356539	1.66159715371747	0.0131578947368421	1	1	5217	tags=76%, list=27%, signal=55%	NDUFA5/NDUFS1/NDUFA9/NDUFB5/NDUFS7/NDUFV2/NDUFS3/NDUFB6/NDUFA4/NDUFC2/NDUFB1/NDUFB2/NDUFA7/NDUFB9/NDUFAB1/NDUFS4/NDUFA6/NDUFV1/NDUFA10/NDUFA13/NDUFA8/NDUFA12/NDUFS8/NDUFS2/NDUFB7/NDUFB4/NDUFC1/NDUFB3/NDUFA3/NDUFB10/NDUFA1/NDUFV3/NDUFA2/NDUFAF2
GO_PYROPHOSPHATE_HYDROLYSIS_DRIVEN_PROTON_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_PYROPHOSPHATE_HYDROLYSIS_DRIVEN_PROTON_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GO_PYROPHOSPHATE_HYDROLYSIS_DRIVEN_PROTON_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	31	0.669611465870223	1.65257902089564	0.0277777777777778	1	1	1044	tags=19%, list=5%, signal=18%	ATP6V1G3/ATP6V0A4/ATP4B/ATP6V0D2/ATP2C2/ATP6V1C2
GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H_QUINONE_OR_SIMILAR_COMPOUND_AS_ACCEPTOR	GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H_QUINONE_OR_SIMILAR_COMPOUND_AS_ACCEPTOR	GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H_QUINONE_OR_SIMILAR_COMPOUND_AS_ACCEPTOR	60	0.585903832609368	1.63986173267966	0.0185185185185185	1	1	5217	tags=67%, list=27%, signal=49%	ADH4/AKR1C1/DHRS4/NDUFA5/NDUFS1/NDUFA9/DCXR/NDUFB5/CBR4/NDUFS7/NDUFV2/NDUFS3/NDUFB6/NDUFA4/NDUFC2/NDUFB1/NDUFB2/NDUFA7/NDUFB9/NDUFAB1/NDUFS4/NDUFA6/NDUFV1/NDUFA10/NDUFA13/CBR1/NDUFA8/NDUFA12/NDUFS8/NDUFS2/NDUFB7/NDUFB4/NDUFC1/NDUFB3/NDUFA3/NDUFB10/NDUFA1/NDUFV3/NDUFA2/NDUFAF2
GO_1_PHOSPHATIDYLINOSITOL_3_KINASE_ACTIVITY	GO_1_PHOSPHATIDYLINOSITOL_3_KINASE_ACTIVITY	GO_1_PHOSPHATIDYLINOSITOL_3_KINASE_ACTIVITY	10	0.785483917594742	1.6252587232383	0.0447154471544715	1	1	88	tags=10%, list=0%, signal=10%	PIK3C2G
GO_PHOSPHATIDYLINOSITOL_KINASE_ACTIVITY	GO_PHOSPHATIDYLINOSITOL_KINASE_ACTIVITY	GO_PHOSPHATIDYLINOSITOL_KINASE_ACTIVITY	14	0.754797619800897	1.61425362047585	0.043859649122807	1	1	88	tags=7%, list=0%, signal=7%	PIK3C2G
