	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
GO_ODORANT_BINDING	GO_ODORANT_BINDING	GO_ODORANT_BINDING	84	-0.769520720741659	-1.62172944761708	0.00102249488752556	0.212269938650307	0.210526315789474	1966	tags=58%, list=10%, signal=53%	OR5K4/LCN1/OR8G5/OR5B12/OR5H1/OR5H14/OR5H15/OR8G1/OR9G4/OR8D2/OR5P3/OR8D4/OR5D16/OR5C1/OR5M9/OR5D18/OR5AS1/OR10V1/OR14C36/OR9K2/OR5M1/OR5H2/OR8A1/OR11L1/OR8J1/OR5AC2/OR5AU1/OR5A1/OR8U1/OR8H1/OR5P2/OR6B2/OR8J3/OR8H2/OR5W2/OR5L2/OR8B4/OR6B3/OR8K1/OR8B12/OR8K5/OR5A2/OR5F1/OR5AP2/LCN9/OR8I2/OR5M10/OR8H3/OR5J2
GO_NEUROPEPTIDE_HORMONE_ACTIVITY	GO_NEUROPEPTIDE_HORMONE_ACTIVITY	GO_NEUROPEPTIDE_HORMONE_ACTIVITY	28	-0.783759017841995	-1.52814202762462	0.00460829493087558	0.417286432160804	0.41385876752182	3350	tags=71%, list=17%, signal=59%	NPY/NPPA/UCN/PPY/AGRP/OXT/GAL/CORT/ASIP/VGF/GRP/CALCB/AVP/PENK/HCRT/PRLH/CARTPT/PYY/GHRH/CRH
GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_OLFACTORY_RECEPTOR_ACTIVITY	364	-0.712237280680461	-1.52780704447928	0.000999000999000999	0.212269938650307	0.210526315789474	2175	tags=56%, list=11%, signal=51%	OR8D1/OR13C2/OR2L2/OR2H1/OR6K6/OR6T1/OR4K15/OR52E4/OR1L8/OR1F1/OR5K4/OR11A1/OR2L5/OR8G5/OR2L3/OR5B12/OR2T1/OR52E8/OR52B2/OR7E24/OR6P1/OR52I2/OR6K3/OR5H1/OR1E1/OR1J1/OR52I1/OR10G9/OR2W1/OR10K2/OR5H14/OR2B6/OR4E2/OR13J1/OR2K2/OR5H15/OR5T2/OR1L1/OR52E6/OR8G1/OR6X1/OR2J2/OR2H2/OR13D1/OR7A5/OR9G4/OR2V1/OR51V1/OR4F6/OR4C15/OR13F1/OR4F17/OR7C1/OR10J1/OR52E5/OR10J5/OR4N2/OR6C1/OR10A3/OR10G7/OR10S1/OR2C3/OR52L1/OR4D6/OR8D2/OR4N5/OR5P3/OR4C11/OR10A7/OR6K2/OR8D4/OR4B1/OR1K1/OR1D5/OR6C3/OR6Q1/OR6C65/OR56A5/OR10H1/OR5D16/OR52A5/OR1M1/OR10A6/OR1N1/OR52J3/OR52B4/OR6M1/OR5C1/OR3A3/OR4A47/OR10G8/OR51L1/OR10H4/OR4A16/OR2AJ1/OR5M9/OR5D18/OR2B2/OR4M1/OR1N2/OR4D1/OR5AS1/OR2T27/OR51F1/OR4K14/OR10V1/OR2Y1/OR14C36/OR9K2/OR5T1/OR7A17/OR2F2/OR5M1/OR13C8/OR5H2/OR52E2/OR8A1/OR9G1/OR1A2/OR51A2/OR11L1/OR6S1/OR1E2/OR4C46/OR10P1/OR1D2/OR6N2/OR7A10/OR4P4/OR4C13/OR8J1/OR5AC2/OR5AU1/OR5A1/OR51T1/OR8U1/OR2B3/OR4K2/OR51D1/OR1A1/OR8H1/OR5P2/OR52A1/OR2M4/OR6B2/OR51F2/OR7G2/OR56A3/OR8J3/OR8H2/OR11G2/OR10H5/OR6C75/OR2G3/OR5W2/OR5L2/OR10G3/OR56A1/OR1B1/OR6C76/OR2M5/OR7G1/OR8B4/OR6B3/OR2G2/OR4D9/OR2M3/OR4K5/OR7D4/OR4K1/OR4F5/OR4Q3/OR4D5/OR8K1/OR2M7/OR8B12/OR51A7/OR4A5/OR10Z1/OR4X2/OR4D10/OR8K5/OR7G3/OR5A2/OR6C68/OR7C2/OR5F1/OR11H1/OR10D3/OR4D11/OR5AP2/OR10K1/OR2M2/OR2V2/OR11H2/OR4C12/OR2Z1/OR4C5/OR2T6/OR6C74/OR8I2/OR1I1/OR5M10/OR8H3/OR5J2
GO_CYSTEINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY	GO_CYSTEINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY	GO_CYSTEINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY	58	-0.734759066192156	-1.52218899946154	0.00420168067226891	0.417286432160804	0.41385876752182	1953	tags=29%, list=10%, signal=26%	LCN1/KNG1/CST4/AVP/HRG/CST11/SERPINB3/TFAP2B/CST5/CST8/CARD18/AHSG/CST9/CSTL1/SERPINB13/BIRC8/CST9L
GO_INTRONIC_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	GO_INTRONIC_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	GO_INTRONIC_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	16	-0.831512224212839	-1.50853934936326	0.0087173100871731	0.417286432160804	0.41385876752182	1175	tags=38%, list=6%, signal=35%	VAX2/GSX1/VAX1/NKX2-1/NOTO/GRHL2
GO_LIGAND_GATED_ANION_CHANNEL_ACTIVITY	GO_LIGAND_GATED_ANION_CHANNEL_ACTIVITY	GO_LIGAND_GATED_ANION_CHANNEL_ACTIVITY	19	-0.798091301595281	-1.49406723460766	0.0168269230769231	0.491477272727273	0.48744019138756	2737	tags=63%, list=14%, signal=54%	GABRG1/GABRB1/GLRA1/GABRG3/CFTR/GABRA3/GABRA4/GABRA2/GABRG2/GABRA1/GLRA3/GABRA6
GO_HORMONE_ACTIVITY	GO_HORMONE_ACTIVITY	GO_HORMONE_ACTIVITY	118	-0.691810124183643	-1.46176816745309	0.00101010101010101	0.212269938650307	0.210526315789474	3250	tags=49%, list=17%, signal=41%	RLN1/SCT/NPPA/INSL3/C1QTNF12/UCN/PPY/AGRP/OXT/POMC/GNRH2/CHGB/CGB7/INHA/UCN2/CCL25/NPPC/GAL/INSL5/UCN3/TRH/CORT/AMH/LHB/ASIP/VGF/FNDC5/GRP/PRL/CALCB/GPHA2/GH1/FSHB/RLN3/AVP/GPHB5/PENK/HCRT/GAST/CSHL1/PRLH/CARTPT/PYY/CGB3/TTR/CGB1/GHRH/GIP/RETNLB/CALCA/GALP/CGB2/CRH/GCG/CSH2/INS-IGF2/CSH1/CGA
GO_CARBON_SULFUR_LYASE_ACTIVITY	GO_CARBON_SULFUR_LYASE_ACTIVITY	GO_CARBON_SULFUR_LYASE_ACTIVITY	14	-0.818621704241233	-1.4613648492614	0.0189393939393939	0.491477272727273	0.48744019138756	9	tags=14%, list=0%, signal=14%	LTC4S/CENPVL1
GO_HEXOSAMINIDASE_ACTIVITY	GO_HEXOSAMINIDASE_ACTIVITY	GO_HEXOSAMINIDASE_ACTIVITY	14	-0.815697457356277	-1.45614462166898	0.023989898989899	0.565943526170799	0.56129476584022	353	tags=21%, list=2%, signal=21%	HYAL3/SPAM1/HYAL4
GO_INHIBITORY_EXTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY	GO_INHIBITORY_EXTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY	GO_INHIBITORY_EXTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY	15	-0.811151595950117	-1.45469890487139	0.0163316582914573	0.491477272727273	0.48744019138756	2246	tags=67%, list=12%, signal=59%	GABRG1/GLRA1/GABRG3/GABRA3/GABRA4/GABRA2/GABRG2/GABRA1/GLRA3/GABRA6
